"","RUID","salary_base","experiential1","popType","gender","ethnicity","post_grad_status","Student.Profile..GPA"
"37",136004677,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.48
"38",132008140,NA,"No","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",2.92
"39",131008511,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.8
"40",131006658,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.4
"41",128004427,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.21
"42",155003625,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.83
"43",138001529,NA,"Yes","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Seeking employment",2.69
"44",154009434,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",4
"45",154008241,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.18
"46",154007869,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.25
"47",153009855,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.94
"48",153005362,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.32
"49",150001866,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.45
"50",150001493,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.22
"51",150001036,NA,"No","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2.3
"52",149005170,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.88
"53",148006623,NA,"No","Humanities & Social Sciences","Female","Puerto Rican","Seeking employment",2.78
"54",155000519,NA,"No","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",3.19
"55",143008784,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.9
"56",143008043,NA,"No","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",3.09
"57",143000401,NA,"No","Humanities & Social Sciences","Male","Black Non-Hispanic","Seeking employment",2.58
"58",140007357,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.96
"59",140006368,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.85
"60",140004672,NA,"No","Humanities & Social Sciences","Male","More than one race, excluding Hispanic or Latino","Seeking employment",3.87
"61",140006687,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.64
"62",140004226,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.3
"63",140002724,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.85
"64",139009321,NA,"Yes","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Seeking employment",2.84
"65",139006642,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.09
"66",139006544,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.57
"67",139004614,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.75
"68",139004305,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.09
"69",139003959,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.39
"70",139003815,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.37
"71",139003597,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.41
"72",139001954,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.64
"73",139000383,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",2.13
"74",138008550,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",2.89
"75",138008294,NA,"Yes","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Seeking employment",3.76
"76",138006735,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.06
"77",138006266,NA,"No","Humanities & Social Sciences","Female","More than one race, excluding Hispanic or Latino","Seeking employment",2.89
"78",138005873,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.8
"79",138005098,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.32
"80",138003401,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.68
"81",138002043,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.71
"82",137008504,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",2.72
"83",154009027,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.74
"84",138006929,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.59
"85",137007564,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.81
"86",134005641,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.52
"87",134001129,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.44
"88",140003619,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.06
"89",133005030,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",2.2
"90",132008051,NA,"Yes","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",2.43
"91",132007731,NA,"No","Humanities & Social Sciences","Male","Hispanic Non-Puerto-Rican","Seeking employment",2.51
"92",132002824,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.01
"93",140001962,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.35
"94",131007247,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.83
"95",129005559,NA,"No","Humanities & Social Sciences","Female","Puerto Rican","Seeking employment",2.97
"96",129001662,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.14
"97",127009537,NA,"Yes","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",3.05
"98",127004447,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",2.63
"99",126000202,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.84
"100",119004146,NA,"No","Humanities & Social Sciences","Male","Black Non-Hispanic","Seeking employment",3.16
"101",155008573,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.44
"102",144008834,NA,"No","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2
"103",38006235,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.9
"104",138003362,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.6
"105",138009626,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",2.89
"106",133008828,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.84
"107",142004196,NA,"Yes","Humanities & Social Sciences","Male","More than one race, excluding Hispanic or Latino","Seeking employment",2.36
"108",140004108,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.51
"109",134000271,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.74
"110",127007775,NA,"No","Humanities & Social Sciences","Male","No Response","Seeking employment",3.93
"111",154007916,NA,"No","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Seeking employment",3.09
"112",150003086,NA,"Yes","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2.76
"113",135003466,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.83
"114",138006043,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.13
"115",138005474,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.25
"116",150000680,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.52
"117",140003642,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",2.87
"118",143001368,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.59
"119",140008771,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.23
"120",142004738,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.22
"121",140008170,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.52
"122",137001430,NA,"Yes","Humanities & Social Sciences","Male","More than one race, excluding Hispanic or Latino","Seeking employment",2.92
"123",139001681,NA,"Yes","Humanities & Social Sciences","Female","More than one race, excluding Hispanic or Latino","Seeking employment",3.34
"124",138003152,NA,"Yes","Humanities & Social Sciences","Male","Puerto Rican","Seeking employment",3.53
"125",138005117,NA,"Yes","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Seeking employment",3.29
"126",143009858,NA,"Yes","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",3.03
"127",140000632,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.08
"128",134000431,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",2.97
"129",137009700,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.95
"130",133000081,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",2.7
"131",150002950,NA,"Yes","Humanities & Social Sciences","Female","Puerto Rican","Seeking employment",2.91
"132",139007971,NA,"No","Humanities & Social Sciences","Male","Hispanic Non-Puerto-Rican","Seeking employment",3.24
"133",131006974,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.47
"134",136008038,NA,"No","Humanities & Social Sciences","Male","Black Non-Hispanic","Seeking employment",2.16
"135",139003040,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.3
"136",139000010,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.53
"137",140005165,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",2.87
"138",147005529,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.67
"139",140004151,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.74
"140",140008389,NA,"Yes","Humanities & Social Sciences","Male","Puerto Rican","Seeking employment",2.8
"141",154006758,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.52
"142",138007264,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",2.94
"143",128003551,NA,"Yes","Humanities & Social Sciences","Male","Hispanic Non-Puerto-Rican","Seeking employment",2.36
"144",138008291,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.75
"145",138006939,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.81
"146",132003015,NA,"Yes","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2.31
"147",121007029,NA,"No","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2.39
"148",137009614,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.84
"149",138009223,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.29
"150",134002048,NA,"Yes","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2.12
"151",139003493,NA,"Yes","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",3.37
"152",145000859,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.49
"153",140009710,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.3
"154",140000585,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.2
"155",139005445,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",2.99
"156",139000665,NA,"Yes","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",3.45
"157",114009252,NA,"No","Humanities & Social Sciences","Male","No Response","Seeking employment",3.79
"158",148009086,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.62
"159",136000013,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.16
"160",139000572,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.08
"161",132005393,NA,"Yes","Humanities & Social Sciences","Male","Hispanic Non-Puerto-Rican","Seeking employment",2.49
"162",140008951,NA,"Yes","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",3.28
"163",140009599,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",2.78
"164",150001649,NA,"Yes","Humanities & Social Sciences","Male","Hispanic Non-Puerto-Rican","Seeking employment",2.96
"165",140003293,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.13
"166",140005750,NA,"Yes","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",3.83
"167",139006000,NA,"Yes","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",3.3
"168",139009344,NA,"Yes","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",3.38
"169",139007590,NA,"No","Humanities & Social Sciences","Male","More than one race, excluding Hispanic or Latino","Seeking employment",3.32
"170",139009137,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.41
"171",140000697,NA,"Yes","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Seeking employment",3.12
"172",141000444,NA,"Yes","Humanities & Social Sciences","Female","Unknown","Seeking employment",3.4
"173",133002676,NA,"No","Humanities & Social Sciences","Male","No Response","Seeking employment",3.6
"174",148004173,NA,"Yes","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",2.65
"175",133002022,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.51
"176",132002340,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.72
"177",139000465,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.9
"178",143001590,NA,"Yes","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Seeking employment",3.62
"179",138006614,NA,"Yes","Humanities & Social Sciences","Female","Black Non-Hispanic","Seeking employment",3.64
"180",139006543,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.65
"181",138005558,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.44
"182",139006559,NA,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.68
"183",138001718,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.7
"184",139005858,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",3.61
"185",144001303,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",2.84
"186",140005514,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.69
"187",137006376,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.8
"188",127009484,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",2.17
"189",148005452,24000,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",2.53
"190",126008812,30000,"No","Humanities & Social Sciences","Male","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.86
"191",154005606,49100,"No","Humanities & Social Sciences","Female","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",4
"192",138006560,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.91
"193",152003425,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.68
"194",140004004,30000,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.37
"195",108003912,41000,"Yes","Humanities & Social Sciences","Female","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",4
"196",137006564,45000,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.93
"197",156001814,96000,"No","Humanities & Social Sciences","Female","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.65
"198",118006367,NA,"No","Humanities & Social Sciences","Female","Black Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.5
"199",156000964,66000,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",4
"200",137006716,54201,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",4
"201",8003839,40000,"No","Humanities & Social Sciences","Male","Hispanic Non-Puerto-Rican","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",2.01
"202",154002993,38500,"No","Humanities & Social Sciences","Male","Black Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.48
"203",139004255,NA,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Seeking employment",2.97
"204",150001631,37000,"No","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",2.67
"205",138006496,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.53
"206",138000689,35000,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.3
"207",128006403,2000,"Yes","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",2.76
"208",126003974,45000,"Yes","Humanities & Social Sciences","Female","Asian or Pacific Islander","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",2.89
"209",136007719,40000,"Yes","Humanities & Social Sciences","Female","Hispanic Non-Puerto-Rican","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",2.84
"210",154000422,31200,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.23
"211",51001823,58000,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.05
"212",141001906,NA,"No","Humanities & Social Sciences","Male","Unknown","Seeking employment",3.32
"213",19001442,94000,"Yes","Humanities & Social Sciences","Male","Black Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.5
"214",135006077,NA,"Yes","Humanities & Social Sciences","Male","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",NA
"215",127003253,NA,"No","Humanities & Social Sciences","Female","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.65
"216",92008552,113000,"Yes","Humanities & Social Sciences","Male","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",NA
"217",149009354,45000,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.38
"218",98001668,86400,"No","Humanities & Social Sciences","Unknown","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",NA
"219",138007483,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.93
"220",118003034,75000,"No","Humanities & Social Sciences","Male","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",4
"221",134003216,NA,"No","Humanities & Social Sciences","Male","Black Non-Hispanic","Seeking employment",3.07
"222",57001769,66405,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.8
"223",122008815,52000,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",4
"224",138006791,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",2.53
"225",42008064,48000,"No","Humanities & Social Sciences","Female","Asian or Pacific Islander","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",NA
"226",143004124,NA,"Yes","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2.29
"227",88002812,44800,"No","Humanities & Social Sciences","Male","Asian or Pacific Islander","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",4
"228",122002628,36000,"Yes","Humanities & Social Sciences","Female","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.97
"229",143001104,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.82
"230",154009291,NA,"Yes","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.26
"231",135005032,22000,"No","Humanities & Social Sciences","Female","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.88
"232",125003200,NA,"Yes","Humanities & Social Sciences","Female","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.89
"233",140003902,NA,"No","Humanities & Social Sciences","Male","Asian or Pacific Islander","Seeking employment",2.96
"234",113002199,80000,"No","Humanities & Social Sciences","Female","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.75
"235",155003245,NA,"No","Humanities & Social Sciences","Female","White Non-Hispanic","Seeking employment",3.87
"236",18009441,60000,"Yes","Humanities & Social Sciences","Male","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",NA
"237",155009847,NA,"No","Humanities & Social Sciences","Male","White Non-Hispanic","Seeking employment",3.53
"238",135002473,55000,"Yes","Humanities & Social Sciences","Male","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",4
"239",132009365,67500,"No","Humanities & Social Sciences","Female","No Response","Employed full-time, full-time entrepreneur, full-time post-graduation internship, full-time fellowship, etc. (on average 30 hours or more per week)",3.83
